author_id,book
3089,Tratado sobre la naturaleza humana
3089,Ensayos sobre moral y política
3089,Investigación sobre el entendimiento humano
3089,Investigación sobre los principios de la moral
3090,Ensayo sobre el gobierno civil
3090,Carta sobre la tolerancia
3090,Ensayo sobre el entendimiento humano
3090,Tratado sobre el gobierno civil
3091,La estructura lógica del mundo
3091,La sintaxis lógica del lenguaje
3091,Fundamentos de lógica y matemáticas
3092,Principia mathematica
3092,La filosofía del atomismo lógico
3092,Cómo ser libre y feliz
3092,Por qué no soy cristiano
3093,Banquete
3093,Fedón
3093,Menón
3093,República
3093,Sofista
3094,Fenomenología del espíritu
3094,Ciencia de la lógica
3094,Enciclopedia de las ciencias filosóficas
3094,Lecciones sobre estética
3095,Confesiones
3095,La ciudad de Dios
3095,De trinitate
3095,Contra academicos
3096,Suma contra gentiles
3096,Suma teológica
3097,Física
3097,Metafísica
3097,Ética a Nicómaco
3097,Política
3097,Ética a Eudemo
3097,Retórica
3097,Sobre las partes de los animales
3097,Historia de los animales
3098,Ensayos
3099,"No dejó nada escrito, y mucho de lo que sabemos de él no ha llegado a través de los Esbozos pirrónicos de Sexto Empírico."
3100,Esbozos pirrónicos
3100,Contra los profesores (Adversus mathematicus)
3101,El nacimiento de la tragedia
3101,Así habló Zaratustra
3101,Más allá del bien y del mal
3101,Genealogía de la moral
3101,El anticristo
3102,Discurso del método
3102,Meditaciones metafísicas
3102,Reglas para la dirección del espíritu
3102,Principios de la filosofíca
3102,Las pasiones del alma
3103,Monadología
3103,Discurso de metafísica
3103,Teodicea
3103,Sobre los principios de la filosofía
3104,Pragmatismo
3104,Principios de psicología
3104,La voluntad de creer
3104,Ensayos sobre empirismo radical
3105,El utilitarismo
3105,Sobre la libertad
3105,Ensayos sobre el gobierno representativo
3106,¿Qué es filosofía?
3106,La rebelión de las masas
3106,Historia como sistema
3106,La deshumanización del arte
3106,Idea de principio en Leibniz y la evolución de la teoría deductiva.
3107,Filosofía y poesía
3107,El hombre y lo divino
3107,Hacia un saber sobre el alma
3107,Para una historia de la piedad
3107,Claros del bosque
3108,El ser y la nada
3108,El existencialismo es un humanismo
3108,Crítica de la razón dialéctica
3108,El muro
3108,Los caminos de la libertad
3108,La náusea
3108,Las moscas
3109,Diario metafísico
3109,Ser y tener
3109,Homo viator
3109,El misterio ontológico
3110,Verdad y método I y II
3110,Los caminos de Heidegger
3110,Mis años de aprendizaje
3110,Estética y hermenéutica
3110,La dialéctica de Hegel
3110,"La actualidad de lo bello: el arte como juego, símbolo y fiesta"
3111,La moral por acuerdo
3111,"Egoísmo, moralidad y sociedad liberal"
3111,Practical Reasoning
3111,Moral dealing
3111,The logic of Leviathan
3112,Ética
3112,Principia ethica
3112,Refutación del idealismo
3112,Ensayos éticos
3112,El concepto de valor intrínseco
3113,"Se han perdido todas sus obras, y los fragmentos que nos han llegado están editados bajo el título Obras completas"
3114,Meditaciones
3115,Epístolas morales a Lucilio
3115,Dela brevedad de la vida
3115,Tratados morales
3115,Sobre la felicidad
3115,Tragedias
3115,Diálogos
3116,Sobre los deberes
3116,De amicitia (Sobre la amista)
3116,De senectute (Sobre la vejez)
3116,Sobre la naturaleza de los dioses
3116,Disputaciones tusculanas
3116,Discursos
3117,Estructuras sintácticas
3117,El lenguaje y el entendimiento
3117,El miedo a la democracia
3117,Los guardianes de la libertad
3117,El beneficio es lo que cuenta
3117,La naturaleza humana: justicia versus poder
3117,Ambiciones imperiales.
3118,Patas arriba: la escuela del mundo al revés
3118,Venas abiertas de América latina
3118,El fútbol a sol y sombra
3118,Ser como ellos y otros artículos
3118,Memorias del fuego
3119,Sustainability: A philosophy of adaptative ecosystem management
3119,The preservation of species: the value of biological diversity
3120,Liberación animal
3120,Compendio de ética
3120,Desacralizar la vida humana: ensayos sobre ética
3120,Un solo mundo: la ética de la globalización
3120,El presidente del bien y del mal: las contradicciones éticas de George W. Bush
3121,Una ética para la tierra
3121,A sand county almanac
3122,¡Vivan los animales!
3122,Animales y ciudadanos
3122,Filosofía de la cultura
3122,La naturaleza humana
3122,Racionalidad y acción humana
3122,Ciencia viva
3123,La sociedad abierta y sus enemigos
3123,En busca de un mundo mejor
3123,La lógica de la investigación científica
3123,La miseria del historicismo
3123,"La responsabilidad de vivir: escritos sobre política historia, y conocimiento."
3123,Conjeturas y refutaciones: el crecimiento del conocimiento científico
3124,"Anarquía, estado y utopía"
3124,La naturaleza de la racionalidad
3124,Puzzles socráticos
3124,Meditaciones sobre la vida
3125,El mundo como voluntad y representación
3125,Parerga y paralipómena
3125,De la cuádruple raíz del principio de razón suficiente
3125,Metafísica de las costumbres
3125,Sobre la voluntad en la naturaleza
3125,"El amor, las mujeres y la muerte"
3126,Del inconveniente de haber nacido
3126,Ese maldito yo
3126,El ocaso del pensamiento
3126,Adiós a la filosofía
3126,Breviario de podredumbre
3126,Breviario de los vencidos
3126,Desgarradura
3127,El choque de civilizaciones: y la reconfiguración del orden mundial
3127,El orden político en las naciones en cambio
3127,¿Choque de civilizaciones?
3127,Globalizaciones múltiples: la diversidad cultural en el mundo contemporáneo
3128,Teoría de la acción comunicativa
3128,Conciencia moral y acción comunicativa
3128,Conocimiento e interés
3128,Problemas de legitimización en el capitalismo tardío
3128,La inclusión del otro. Estudios de teoría política
3128,Entre naturalismo y religión
3128,Conocimiento e interés
3128,Ciencia y técnica como ideología
3129,Contrafuegos: reflexiones para servir a la resistencia contra la invasión neoliberal
3129,La miseria del mundo
3129,"Poder, derecho y clases sociales"
3129,Las estructuras sociales de la economía
3129,La dominación masculina
3129,Razones prácticas: sobre la teoría de la acción
3130,Teoría del cierre categorial
3130,El animal divino
3130,Telebasura y democracia
3130,Categoría de las ciencias políticas
3130,España frente a Europa
3130,Panfleto contra la democracia realmente existente
3130,Ver todos sus artículos en El Catoblepas y El basilisco
3131,Diccionario filosófico
3131,Filosofía de la historia
3131,Cartas filosóficas
3131,Micromegas
3131,Tratado de la tolerancia
3131,Cándido
3132,Tractatus logico-philosophicus
3132,Investigaciones filosóficas
3132,Los cuadernos azul y marrón
3132,Movimientos del pensar
3132,Ocasiones filosóficas
3132,Diarios secretos
3133,Del sentimiento trágico de la vida
3133,La agonía del cristianismo
3133,"San Manuel bueno, mártir"
3134,Crítica de la razón pura
3134,Crítica de la razón práctica
3134,Crítica del juicio
3134,Metafísica de las costumbres
3134,¿Qué es Ilustración?
3134,Idea de una historia universal con propósito cosmopolita
3135,Tesis sobre Feuerbach
3135,El capital (volúmenes segundo y tercero junto a Engels)
3135,La ideología alemana (junto a Engels)
3135,Manifiesto comunista (junto a Engels)
3135,La miseria de la filosofía
3136,"Emilio, o de la educación"
3136,Contrato social
3136,Discurso sobre la desigualdad entre los hombres
3136,Discurso sobre las ciencias y las artes
3137,Scriptum in quatuor libris Sententiarum
3137,Logica maior o Summa logicae
3137,Tractatus de praedestinatione et praescientia Dei et de futuris contingentibus
3137,Logicae tractatus minor
3137,Philosophia naturalis sive summulae in octo libros physicorum
3261,Reflexiones sobre las causas de la libertad y de la opresión social
3261,La condición obrera
3261,Escritos históricos y políticos
3261,Carta a un religioso
3262,Sobre el problema de la empatía
3262,La estructura de la persona humana
3262,¿Qué es filosofía?
3262,La mujer
3262,La ciencia de la cruz
3263,El segundo sexo
3263,Los mandarines
3263,La vejez
3263,La ceremonia del adiós
3264,El manantial
3264,La rebelión de Atlas
3264,Derechos del hombre
3265,Reflexiones sobre la educación de las hijas
3265,Historias originales
3265,Vindicación de los derechos del hombre
3265,Vindicación de los derechos de la mujer
3266,Los orígenes del totalitarismo
3266,La condición humana
3266,Sobre la revolución
3266,Eichmann en Jersulaén
3267,Reflexiones sobre el proceso de la reina
3267,De la influencia de las pasiones; reflexiones sobre el suicidio
3267,Diez años de destierro
3267,Corinne
3267,De l'Allemagne
3268,Declaración de los derechos de la mujer y la ciudadana
3268,Écrits politique
3269,La ciudad de las damas
3269,Epístola al Dios de Amores
3269,Dicho de la Rosa
3270,Discurso sobre la felicidad y Correspondencia
3270,Dissertation sur la nature et la propagation du feu
3270,Discours sur le bonheur
3271,Scivias
3271,Liber vite meritorum
3271,Liber divinorum operum
3272,Mirada retrospectiva
3272,El erotismo
3272,Friedrich Nietzsche en sus obras
3272,Correspondencia
3273,El texto de la novela
3273,Extranjeros para nosotros mismos
3273,Lo femenino y lo sagrado
3273,El porvenir de una revuelta
3273,La revuelta íntima
3274,La fragilidad del bien: fortuna y ética en la tragedia y la filosofía griega
3274,El cultivo de la humanidad: una defensa clásica de la reforma en la educación liberal
3274,Las mujeres y el desarrollo humano: el enfoque de las capacidades
3274,El cultivo de la humanidad: una defensa clásica de la reforma en la educación liberal
3274,Sin fines de lucro. Por qué la democracia necesita de las humanidades
3275,Sexo y Filosofía
3275,Del miedo a la igualdad
3275,La política de las mujeres
3275,Feminismo en un mundo global
3276,El Género en disputa. Feminismo y la subversión de la identidad
3276,Cuerpos que importan. El límite discursivo del sexo
3276,El grito de Antígona
3285,La destrucción de la destrucción
3285,Sobre la armonía entre Religión y Filosofía
3285,Libro de las generalidades de la medicina
3285,Comentarios a la obra de Aristóteles
3286,Curso de filosofía positiva
3286,Discurso sobre el espíritu positivo
3286,Sistema de política positiva
3287,Analectas
3288,Leviatan
3288,De cive
3288,Tratado sobre el cuerpo
3288,Behemoth
3289,Sobre la naturaleza (Obra perdida)
3290,"Para una ética de la liberación latinoamericana I, II, III, IV y V"
3290,Filosofía de la liberación
3290,Ética de la liberación en la edad de la globalización y la exlusión
3291,Las palabras y las cosas
3291,Historia de la locura
3291,Vigilar y castigar
3291,La arqueología del saber
3291,Historia de la sexualidad
3292,O lo uno o lo otro
3292,Temor y temblor
3292,El diario de un seductor
3292,La enfermedad mortal
3292,El concepto de angustia
3292,Mi punto de vista
3699,Ser y tiempo
3699,Kant y el problema de la metafísica
3699,¿Qué significa pensar?
3699,Los problemas fundamentales de la fenomenología
3700,Investigaciones lógicas
3700,Meditaciones cartesianas
3700,La crisis de las ciencias europeas
